date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:44	4018/4018	---MC-	200	added ('OK')	application/javascript	date:Fri,%2005%20Oct%202018%2002:24:31%20GMT	http://www.zerofibres.nz/static/js/67d846dd.waypoints-vp.js	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/js/67d846dd.waypoints-vp.js	(from http://www.zerofibres.nz/)
12:39:44	6281/6281	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2021:48:08%20GMT	http://www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.eot	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.eot	(from http://www.zerofibres.nz/static/css/fe93f462.minified.css)
12:39:44	35452/35452	---MC-	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202015%2023:12:18%20GMT	http://www.zerofibres.nz/static/js/046ba2b5.bootstrap.min.js	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/js/046ba2b5.bootstrap.min.js	(from http://www.zerofibres.nz/)
12:39:45	6281/6281	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2021:48:08%20GMT	http://www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.eot?	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.zerofibres.nz/static/css/fe93f462.minified.css)
12:39:45	6281/6281	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2021:48:08%20GMT	http://www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.woff2	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.woff2	(from http://www.zerofibres.nz/static/css/fe93f462.minified.css)
12:39:45	6281/6281	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2021:48:08%20GMT	http://www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.woff	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.woff	(from http://www.zerofibres.nz/static/css/fe93f462.minified.css)
12:39:46	6281/6281	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2021:48:08%20GMT	http://www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.ttf	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.ttf	(from http://www.zerofibres.nz/static/css/fe93f462.minified.css)
12:39:46	6281/6281	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Oct%202018%2021:48:08%20GMT	http://www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.svg	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/static/fonts/glyphicons-halflings-regular.svg	(from http://www.zerofibres.nz/static/css/fe93f462.minified.css)
12:39:48	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://www.zerofibres.nz/)
12:39:50	65421/65421	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Sep%202015%2006:47:59%20GMT	http://www.zerofibres.nz/webhook-uploads/1441694879641/IMG_3365.JPG	C:/Websites/Zero%20Fibres/Webhook%20Static%20Copy/Zero%20Fires/www.zerofibres.nz/webhook-uploads/1441694879641/IMG_3365.jpg	(from http://www.zerofibres.nz/blog/wittenoom-western-australias-forgotten-town/)
